overs,comment
12.4,"Unadkat,Mahmudullah,<b>FOUR</b>,"
12.3,"Unadkat,Mahmudullah,no run,"
12.2,"Unadkat,Sabbir Rahman,1 run,"
12.1,"Unadkat,Mahmudullah,1 run,"
11.6,"Vijay Shankar,Mahmudullah,1 run,"
11.5,"Vijay Shankar,Sabbir Rahman,1 run,"
11.4,"Vijay Shankar,Mahmudullah,1 run,"
11.3,"Vijay Shankar,Mahmudullah,2 runs,"
11.3,"Vijay Shankar,Mahmudullah,<b>wide</b>,"
11.2,"Vijay Shankar,Mahmudullah,2 runs,"
11.1,"Vijay Shankar,Mahmudullah,2 runs,"
10.6,"Chahal,Mahmudullah,1 run,"
10.5,"Chahal,Mahmudullah,no run,"
10.4,"Chahal,Sabbir Rahman,1 run,"
10.3,"Chahal,Mahmudullah,1 run,"
10.2,"Chahal,Sabbir Rahman,1 run,"
10.1,"Chahal to Rahim, <b>out</b> "
9.6,"Washington Sundar,Sabbir Rahman,no run,"
9.5,"Washington Sundar,Rahim,1 run,"
9.4,"Washington Sundar,Rahim,no run,"
9.3,"Washington Sundar,Sabbir Rahman,1 run,"
9.2,"Washington Sundar,Sabbir Rahman,2 runs,"
9.1,"Washington Sundar,Rahim,1 run,"
8.6,"Chahal,Rahim,1 run,"
8.5,"Chahal,Sabbir Rahman,1 run,"
8.4,"Chahal,Sabbir Rahman,no run,"
8.3,"Chahal,Sabbir Rahman,no run,"
8.2,"Chahal,Rahim,1 run,"
8.1,"Chahal,Sabbir Rahman,1 run,"
7.6,"Vijay Shankar,Sabbir Rahman,1 run,"
7.5,"Vijay Shankar,Rahim,1 run,"
7.4,"Vijay Shankar,Sabbir Rahman,1 run,"
7.3,"Vijay Shankar,Sabbir Rahman,<b>FOUR</b>,"
7.2,"Vijay Shankar,Sabbir Rahman,<b>SIX</b>,"
7.1,"Vijay Shankar,Rahim,1 run,"
6.6,"Chahal,Rahim,1 run,"
6.5,"Chahal,Sabbir Rahman,1 run,"
6.4,"Chahal,Rahim,1 run,"
6.3,"Chahal,Sabbir Rahman,1 run,"
6.2,"Chahal,Sabbir Rahman,no run,"
6.1,"Chahal,Rahim,1 run,"
5.6,"SN Thakur,Sabbir Rahman,no run,"
5.6,"SN Thakur,Sabbir Rahman,<b>wide</b>,"
5.5,"SN Thakur,Sabbir Rahman,no run,"
5.4,"SN Thakur,Sabbir Rahman,<b>FOUR</b>,"
5.3,"SN Thakur,Sabbir Rahman,no run,"
5.2,"SN Thakur to Rahim, leg byes, 1 run,"
5.1,"SN Thakur,Sabbir Rahman,1 run,"
4.6,"Chahal to Soumya Sarkar, <b>out</b> "
4.5,"Chahal to Sabbir Rahman, leg byes, 1 run,"
4.4,"Chahal,Sabbir Rahman,<b>FOUR</b>,"
4.3,"Chahal,Soumya Sarkar,1 run,"
4.2,"Chahal to Tamim, <b>out</b> "
4.1,"Chahal,Tamim,no run,"
3.6,"Washington Sundar,Sabbir Rahman,no run,"
3.5,"Washington Sundar,Sabbir Rahman,no run,"
3.4,"Washington Sundar,Sabbir Rahman,no run,"
3.3,"Washington Sundar,Sabbir Rahman,no run,"
3.2,"Washington Sundar to Liton Das, <b>out</b> "
3.1,"Washington Sundar,Tamim,1 run,"
2.6,"Unadkat,Tamim,1 run,"
2.5,"Unadkat,Liton Das,1 run,"
2.4,"Unadkat,Tamim,1 run,"
2.3,"Unadkat,Liton Das,1 run,"
2.2,"Unadkat,Liton Das,<b>SIX</b>,"
2.1,"Unadkat,Tamim,3 runs,"
1.6,"Washington Sundar,Liton Das,no run,"
1.5,"Washington Sundar,Tamim,1 run,"
1.4,"Washington Sundar,Tamim,2 runs,"
1.3,"Washington Sundar,Tamim,no run,"
1.2,"Washington Sundar,Tamim,no run,"
1.1,"Washington Sundar,Liton Das,1 run,"
0.6,"Unadkat,Tamim,<b>FOUR</b>,"
0.5,"Unadkat,Liton Das,1 run,"
0.4,"Unadkat,Tamim,1 run,"
0.3,"Unadkat,Liton Das,1 run,"
0.3,"Unadkat,Liton Das,<b>wide</b>,"
0.2,"Unadkat,Liton Das,no run,"
0.1,"Unadkat,Tamim,1 run,"
